"","municipio","seccion","casilla","tipo_casilla","padron_electoral","listado_nominal","clasificacion","estrato"
"180","2. MEXICALI","02_0444","URBANA","C9",715,713,"indefinidos","2. MEXICALI URBANA indefinidos"
"181","2. MEXICALI","02_0444","URBANA","C10",714,713,"indefinidos","2. MEXICALI URBANA indefinidos"
"182","2. MEXICALI","02_0444","URBANA","C11",714,713,"indefinidos","2. MEXICALI URBANA indefinidos"
"183","2. MEXICALI","02_0444","URBANA","C12",714,713,"indefinidos","2. MEXICALI URBANA indefinidos"
"184","2. MEXICALI","02_0444","URBANA","C13",714,713,"indefinidos","2. MEXICALI URBANA indefinidos"
"185","2. MEXICALI","02_0444","URBANA","C14",714,713,"indefinidos","2. MEXICALI URBANA indefinidos"
"186","2. MEXICALI","02_0444","URBANA","C15",714,713,"indefinidos","2. MEXICALI URBANA indefinidos"
"187","2. MEXICALI","02_0444","URBANA","C16",714,713,"indefinidos","2. MEXICALI URBANA indefinidos"
"188","2. MEXICALI","02_0445","URBANA","B1",666,665,"indefinidos","2. MEXICALI URBANA indefinidos"
"189","2. MEXICALI","02_0445","URBANA","C1",666,665,"indefinidos","2. MEXICALI URBANA indefinidos"
"190","2. MEXICALI","02_0446","URBANA","B1",746,745,"indefinidos","2. MEXICALI URBANA indefinidos"
