"","municipio","seccion","casilla","tipo_casilla","padron_electoral","listado_nominal","clasificacion","estrato"
"444","2. MEXICALI","02_1823","URBANA","B1",696,694,"morenistas","2. MEXICALI URBANA morenistas"
"445","2. MEXICALI","02_1824","URBANA","B1",595,594,"morenistas","2. MEXICALI URBANA morenistas"
"446","2. MEXICALI","02_1825","URBANA","B1",423,423,"indefinidos","2. MEXICALI URBANA indefinidos"
"447","2. MEXICALI","02_1825","URBANA","C1",422,422,"indefinidos","2. MEXICALI URBANA indefinidos"
"448","2. MEXICALI","02_1826","URBANA","B1",625,624,"morenistas","2. MEXICALI URBANA morenistas"
"449","2. MEXICALI","02_1827","URBANA","B1",678,678,"morenistas","2. MEXICALI URBANA morenistas"
"450","2. MEXICALI","02_1828","URBANA","B1",385,385,"indefinidos","2. MEXICALI URBANA indefinidos"
"451","2. MEXICALI","02_1828","URBANA","C1",385,384,"indefinidos","2. MEXICALI URBANA indefinidos"
"452","2. MEXICALI","02_1829","URBANA","B1",734,733,"indefinidos","2. MEXICALI URBANA indefinidos"
"453","2. MEXICALI","02_1830","URBANA","B1",494,493,"indefinidos","2. MEXICALI URBANA indefinidos"
"454","2. MEXICALI","02_1831","URBANA","B1",481,480,"indefinidos","2. MEXICALI URBANA indefinidos"
"455","2. MEXICALI","02_1831","URBANA","C1",481,479,"indefinidos","2. MEXICALI URBANA indefinidos"
"456","2. MEXICALI","02_1832","URBANA","B1",684,682,"morenistas","2. MEXICALI URBANA morenistas"
"457","2. MEXICALI","02_1833","URBANA","B1",378,378,"indefinidos","2. MEXICALI URBANA indefinidos"
"458","2. MEXICALI","02_1833","URBANA","C1",378,378,"indefinidos","2. MEXICALI URBANA indefinidos"
"459","2. MEXICALI","02_1834","URBANA","B1",446,446,"indefinidos","2. MEXICALI URBANA indefinidos"
"460","2. MEXICALI","02_1834","URBANA","C1",446,446,"indefinidos","2. MEXICALI URBANA indefinidos"
"461","2. MEXICALI","02_1835","URBANA","B1",677,676,"morenistas","2. MEXICALI URBANA morenistas"
"462","2. MEXICALI","02_1836","URBANA","B1",729,725,"morenistas","2. MEXICALI URBANA morenistas"
"463","2. MEXICALI","02_1837","URBANA","B1",574,574,"indefinidos","2. MEXICALI URBANA indefinidos"
